Car_ID,Scheduled_Assembly_Date,Engine_Delivery_Date,Engine_Supplier_Region,Engine_Supplier_Reliability,Engine_Transport_Mode,Is_Critical_Engine,Transmission_Delivery_Date,Transmission_Supplier_Region,Transmission_Supplier_Reliability,Transmission_Transport_Mode,Is_Critical_Transmission,Brake_System_Delivery_Date,Brake_System_Supplier_Region,Brake_System_Supplier_Reliability,Brake_System_Transport_Mode,Is_Critical_Brake_System,Suspension_Delivery_Date,Suspension_Supplier_Region,Suspension_Supplier_Reliability,Suspension_Transport_Mode,Is_Critical_Suspension,Infotainment_Delivery_Date,Infotainment_Supplier_Region,Infotainment_Supplier_Reliability,Infotainment_Transport_Mode,Is_Critical_Infotainment,Car_Delayed,Delay_Days,Financial_Impact_USD,Engine_Delayed_Flag,Transmission_Delayed_Flag,Brake_System_Delayed_Flag,Suspension_Delayed_Flag,Infotainment_Delayed_Flag,Any_Critical_Part_Delayed,Engine_Delay_Reason,Transmission_Delay_Reason,Brake_System_Delay_Reason,Suspension_Delay_Reason,Infotainment_Delay_Reason,Order_Urgency,Holiday_Proximity,Inventory_Buffer_Used,Weather_Condition_On_Delivery,Strike_Notice,Production_Shift,Valid_Delay,Total_Parts_Delayed,Route_Type,Distance_KM,Traffic_Level,Supplier_Performance_Score,Contract_Penalty_Per_Day,Engine_Supplier_Group,Transmission_Supplier_Group,Brake_System_Supplier_Group,Suspension_Supplier_Group,Infotainment_Supplier_Group,Engine_Reliability_Score,Transmission_Reliability_Score,Brake_System_Reliability_Score,Suspension_Reliability_Score,Infotainment_Reliability_Score,Traffic_Severity_Index
CAR_942,2023-01-31,2023-01-24,EAST,0.76,ROAD,1,2023-01-30,NORTH,0.79,ROAD,0,2023-01-31,SOUTH,0.94,SEA,1,2023-02-05,EAST,0.97,SEA,1,2023-01-29,NORTH,0.87,ROAD,0,1,5.0,2500.0,0,0,0,1,0,1,ON-TIME,ON-TIME,ON-TIME,CUSTOMS,ON-TIME,MEDIUM,0,0,STORM,0,MORNING,True,1,RURAL,227.214183448924,LOW,0.12,250,EAST_ROAD,NORTH_ROAD,SOUTH_SEA,EAST_SEA,NORTH_ROAD,0.3026315789473684,0.3291139240506329,0.2826086956521739,0.2391304347826087,0.3103448275862069,1.0
CAR_546,2023-01-31,2023-01-22,NORTH,0.75,SEA,1,2023-01-24,EAST,0.98,AIR,1,2023-01-26,EAST,0.99,SEA,1,2023-02-02,NORTH,0.93,AIR,0,2023-01-31,WEST,0.71,SEA,0,0,0.0,0.0,0,0,0,1,0,0,ON-TIME,ON-TIME,ON-TIME,TRANSPORT BREAKDOWN,ON-TIME,MEDIUM,0,0,CLEAR,0,MORNING,False,1,URBAN,29.0840355917404,LOW,0.98,250,NORTH_SEA,EAST_AIR,EAST_SEA,NORTH_AIR,WEST_SEA,0.2894736842105263,0.3285714285714285,0.2307692307692307,0.3116883116883117,0.4,1.0
CAR_465,2023-01-31,2023-01-29,WEST,0.74,AIR,0,2023-01-28,EAST,0.95,AIR,1,2023-01-27,EAST,0.85,AIR,0,2023-01-28,WEST,0.9,ROAD,1,2023-01-25,EAST,0.97,AIR,0,0,0.0,0.0,0,0,0,0,0,0,ON-TIME,ON-TIME,ON-TIME,ON-TIME,ON-TIME,HIGH,1,0,CLEAR,0,MORNING,False,0,MIXED,99.0549742344858,LOW,0.75,100,WEST_AIR,EAST_AIR,EAST_AIR,WEST_ROAD,EAST_AIR,0.3461538461538461,0.3285714285714285,0.3835616438356164,0.3563218390804598,0.2988505747126437,1.0
CAR_807,2023-01-31,2023-02-05,EAST,0.85,ROAD,0,2023-02-03,EAST,0.92,ROAD,1,2023-01-30,NORTH,0.76,SEA,1,2023-01-26,WEST,0.77,AIR,1,2023-01-31,NORTH,0.7,ROAD,1,1,3.0,1000.0,1,1,0,0,0,1,CUSTOMS,SUPPLIER ISSUE,ON-TIME,ON-TIME,ON-TIME,HIGH,0,0,CLEAR,0,MORNING,True,2,MIXED,94.31671662161304,HIGH,0.67,100,EAST_ROAD,EAST_ROAD,NORTH_SEA,WEST_AIR,NORTH_ROAD,0.3026315789473684,0.2790697674418604,0.2738095238095238,0.3218390804597701,0.3103448275862069,1.5
CAR_286,2023-01-31,2023-01-28,SOUTH,0.79,AIR,0,2023-01-31,SOUTH,0.79,AIR,0,2023-01-24,NORTH,0.8,AIR,1,2023-01-28,SOUTH,0.81,ROAD,0,2023-01-23,WEST,0.76,SEA,1,0,0.0,0.0,0,0,0,0,0,0,ON-TIME,ON-TIME,ON-TIME,ON-TIME,ON-TIME,LOW,0,0,CLEAR,0,EVENING,False,0,URBAN,28.01352198203291,LOW,0.98,750,SOUTH_AIR,SOUTH_SEA,NORTH_AIR,SOUTH_ROAD,WEST_SEA,0.2702702702702703,0.3,0.2602739726027397,0.2244897959183673,0.4,1.0
CAR_660,2023-01-31,2023-01-24,SOUTH,0.78,SEA,0,2023-01-31,EAST,0.98,AIR,0,2023-02-02,NORTH,0.91,ROAD,1,2023-02-02,SOUTH,0.9,AIR,1,2023-02-01,NORTH,0.79,ROAD,1,1,2.0,1000.0,0,0,1,1,1,1,ON-TIME,ON-TIME,WEATHER,STRIKE,STRIKE,MEDIUM,0,0,SNOW,0,EVENING,True,3,RURAL,436.10739797191707,LOW,0.79,750,SOUTH_SEA,EAST_AIR,NORTH_ROAD,SOUTH_AIR,NORTH_ROAD,0.3164556962025316,0.3285714285714285,0.3289473684210526,0.2891566265060241,0.3103448275862069,1.0
CAR_75,2023-01-31,2023-01-31,NORTH,0.87,AIR,0,2023-01-31,WEST,0.73,ROAD,0,2023-01-27,WEST,0.88,SEA,1,2023-01-24,SOUTH,0.84,SEA,1,2023-02-04,EAST,0.9,SEA,1,1,4.0,2000.0,0,0,0,0,1,1,ON-TIME,ON-TIME,ON-TIME,ON-TIME,SUPPLIER ISSUE,MEDIUM,1,0,CLEAR,0,NIGHT,True,1,MIXED,191.7098033437116,MODERATE,0.4,750,NORTH_AIR,WEST_ROAD,WEST_SEA,SOUTH_SEA,EAST_SEA,0.3857142857142857,0.2142857142857142,0.35,0.2183908045977011,0.1894736842105263,1.2
CAR_507,2023-01-31,2023-01-29,EAST,0.89,SEA,1,2023-02-06,EAST,0.78,AIR,0,2023-01-20,WEST,0.87,ROAD,1,2023-01-30,EAST,0.93,AIR,0,2023-02-06,EAST,0.91,AIR,0,0,0.0,0.0,0,1,0,0,1,0,ON-TIME,HOLIDAY,ON-TIME,ON-TIME,TRANSPORT BREAKDOWN,HIGH,0,0,SNOW,0,EVENING,False,2,MIXED,147.12120712319046,LOW,0.51,100,EAST_SEA,EAST_AIR,WEST_ROAD,EAST_AIR,EAST_AIR,0.2435897435897435,0.3285714285714285,0.2717391304347826,0.2528735632183908,0.2988505747126437,1.0
CAR_803,2023-01-31,2023-01-31,SOUTH,0.87,AIR,1,2023-02-01,EAST,0.77,ROAD,0,2023-01-27,WEST,0.85,ROAD,1,2023-02-02,SOUTH,0.88,AIR,1,2023-02-07,WEST,0.86,ROAD,1,1,7.0,3500.0,0,1,0,1,1,1,ON-TIME,HOLIDAY,ON-TIME,CUSTOMS,TRANSPORT BREAKDOWN,MEDIUM,0,1,STORM,0,MORNING,False,3,RURAL,242.7662499137514,MODERATE,0.0,750,SOUTH_AIR,EAST_ROAD,WEST_ROAD,SOUTH_AIR,WEST_ROAD,0.2702702702702703,0.2790697674418604,0.2717391304347826,0.2891566265060241,0.3555555555555555,1.2
CAR_189,2023-01-31,2023-01-25,NORTH,0.96,SEA,1,2023-01-29,NORTH,0.77,AIR,1,2023-01-25,NORTH,0.9,AIR,1,2023-01-28,SOUTH,0.8,SEA,1,2023-02-05,SOUTH,0.72,AIR,1,1,5.0,2500.0,0,0,0,0,1,1,ON-TIME,ON-TIME,ON-TIME,ON-TIME,TRANSPORT BREAKDOWN,MEDIUM,0,0,STORM,0,NIGHT,True,1,RURAL,412.3781411100237,LOW,0.23,100,WEST_SEA,NORTH_AIR,NORTH_AIR,SOUTH_SEA,SOUTH_AIR,0.2926829268292683,0.2638888888888889,0.2602739726027397,0.2183908045977011,0.3375,1.0
