Engine_Supplier_Region,Engine_Transport_Mode,Is_Critical_Engine,Transmission_Supplier_Region,Transmission_Transport_Mode,Is_Critical_Transmission,Brake_System_Supplier_Region,Brake_System_Transport_Mode,Is_Critical_Brake_System,Suspension_Supplier_Region,Suspension_Transport_Mode,Is_Critical_Suspension,Infotainment_Supplier_Region,Infotainment_Transport_Mode,Is_Critical_Infotainment,Car_Delayed,Engine_Delayed_Flag,Transmission_Delayed_Flag,Brake_System_Delayed_Flag,Suspension_Delayed_Flag,Infotainment_Delayed_Flag,Any_Critical_Part_Delayed,Order_Urgency,Holiday_Proximity,Weather_Condition_On_Delivery,Strike_Notice,Production_Shift,Total_Parts_Delayed,Route_Type,Distance_KM,Traffic_Level,Supplier_Performance_Score,Contract_Penalty_Per_Day,Engine_Supplier_Group,Transmission_Supplier_Group,Brake_System_Supplier_Group,Suspension_Supplier_Group,Infotainment_Supplier_Group,Engine_Reliability_Score,Transmission_Reliability_Score,Brake_System_Reliability_Score,Suspension_Reliability_Score,Infotainment_Reliability_Score,Traffic_Severity_Index,Month_Scheduled,Quarter_Scheduled,Sum_Critical_Parts_Delayed
EAST,ROAD,1,NORTH,ROAD,0,SOUTH,SEA,1,EAST,SEA,1,NORTH,ROAD,0,1,0,1,1,1,0,1,MEDIUM,0,STORM,0,MORNING,3,RURAL,227.214183448924,LOW,0.12,250,EAST_ROAD,NORTH_ROAD,SOUTH_SEA,EAST_SEA,NORTH_ROAD,0.3026315789473684,0.3291139240506329,0.2826086956521739,0.2391304347826087,0.3103448275862069,1.0,1,1,2
NORTH,SEA,1,EAST,AIR,1,EAST,SEA,1,NORTH,AIR,0,WEST,SEA,0,0,0,0,0,1,1,0,MEDIUM,0,CLEAR,0,MORNING,2,URBAN,29.0840355917404,LOW,0.98,250,NORTH_SEA,EAST_AIR,EAST_SEA,NORTH_AIR,WEST_SEA,0.2894736842105263,0.3285714285714285,0.2602739726027397,0.3116883116883117,0.4,1.0,1,1,0
WEST,AIR,0,EAST,AIR,1,EAST,AIR,0,WEST,ROAD,1,EAST,AIR,0,0,0,0,0,0,0,0,HIGH,1,CLEAR,0,MORNING,0,MIXED,99.0549742344858,LOW,0.75,100,WEST_AIR,EAST_AIR,EAST_AIR,WEST_ROAD,EAST_AIR,0.3461538461538461,0.3285714285714285,0.3835616438356164,0.3563218390804598,0.2988505747126437,1.0,1,1,0
EAST,ROAD,0,EAST,ROAD,1,NORTH,SEA,1,WEST,AIR,1,NORTH,ROAD,1,1,1,1,1,0,1,1,HIGH,0,CLEAR,0,MORNING,4,MIXED,94.31671662161304,HIGH,0.67,100,EAST_ROAD,EAST_ROAD,NORTH_SEA,WEST_AIR,NORTH_ROAD,0.3026315789473684,0.2790697674418604,0.2738095238095238,0.3218390804597701,0.3103448275862069,1.5,1,1,3
SOUTH,AIR,0,SOUTH,AIR,0,NORTH,AIR,1,SOUTH,ROAD,0,WEST,SEA,1,0,0,1,0,0,0,0,LOW,0,CLEAR,0,EVENING,1,URBAN,28.01352198203291,LOW,0.98,750,SOUTH_AIR,SOUTH_SEA,NORTH_AIR,SOUTH_ROAD,WEST_SEA,0.2702702702702703,0.3,0.2602739726027397,0.2244897959183673,0.4,1.0,1,1,0
SOUTH,SEA,0,EAST,AIR,0,NORTH,ROAD,1,SOUTH,AIR,1,NORTH,ROAD,1,1,0,1,1,1,1,1,MEDIUM,0,SNOW,0,EVENING,4,RURAL,436.10739797191707,LOW,0.79,750,SOUTH_SEA,EAST_AIR,NORTH_ROAD,SOUTH_AIR,NORTH_ROAD,0.3164556962025316,0.3285714285714285,0.3289473684210526,0.2891566265060241,0.3103448275862069,1.0,1,1,3
NORTH,AIR,0,WEST,ROAD,0,WEST,SEA,1,SOUTH,SEA,1,EAST,SEA,1,1,1,1,0,0,1,1,MEDIUM,1,CLEAR,0,NIGHT,3,MIXED,191.7098033437116,MODERATE,0.4,750,NORTH_AIR,WEST_ROAD,WEST_SEA,SOUTH_SEA,EAST_SEA,0.3857142857142857,0.2790697674418604,0.35,0.2183908045977011,0.2988505747126437,1.2,1,1,1
EAST,SEA,1,EAST,AIR,0,WEST,ROAD,1,EAST,AIR,0,EAST,AIR,0,0,0,1,0,1,1,0,HIGH,0,SNOW,0,EVENING,3,MIXED,147.12120712319046,LOW,0.51,100,EAST_SEA,EAST_AIR,WEST_ROAD,EAST_AIR,EAST_AIR,0.2435897435897435,0.3285714285714285,0.2717391304347826,0.2528735632183908,0.2988505747126437,1.0,1,1,0
SOUTH,AIR,1,EAST,ROAD,0,WEST,ROAD,1,SOUTH,AIR,1,WEST,ROAD,1,1,1,1,0,1,1,1,MEDIUM,0,STORM,0,MORNING,4,RURAL,242.7662499137514,MODERATE,0.0,750,SOUTH_AIR,EAST_ROAD,WEST_ROAD,SOUTH_AIR,WEST_ROAD,0.2702702702702703,0.2790697674418604,0.2717391304347826,0.2891566265060241,0.3555555555555555,1.2,1,1,3
NORTH,SEA,1,NORTH,AIR,1,NORTH,AIR,1,SOUTH,SEA,1,SOUTH,AIR,1,1,0,0,0,0,1,1,MEDIUM,0,STORM,0,NIGHT,1,RURAL,412.3781411100237,LOW,0.23,100,WEST_SEA,NORTH_AIR,NORTH_AIR,SOUTH_SEA,SOUTH_AIR,0.2926829268292683,0.2790697674418604,0.2602739726027397,0.2183908045977011,0.3375,1.0,1,1,1
