Car_ID,Scheduled_Assembly_Date,Engine_Delivery_Date,Engine_Supplier_Region,Engine_Supplier_Reliability,Engine_Transport_Mode,Is_Critical_Engine,Transmission_Delivery_Date,Transmission_Supplier_Region,Transmission_Supplier_Reliability,Transmission_Transport_Mode,Is_Critical_Transmission,Brake_System_Delivery_Date,Brake_System_Supplier_Region,Brake_System_Supplier_Reliability,Brake_System_Transport_Mode,Is_Critical_Brake_System,Suspension_Delivery_Date,Suspension_Supplier_Region,Suspension_Supplier_Reliability,Suspension_Transport_Mode,Is_Critical_Suspension,Infotainment_Delivery_Date,Infotainment_Supplier_Region,Infotainment_Supplier_Reliability,Infotainment_Transport_Mode,Is_Critical_Infotainment,Car_Delayed,Delay_Days,Financial_Impact_USD,Engine_Delayed_Flag,Transmission_Delayed_Flag,Brake_System_Delayed_Flag,Suspension_Delayed_Flag,Infotainment_Delayed_Flag,Any_Critical_Part_Delayed,Engine_Delay_Reason,Transmission_Delay_Reason,Brake_System_Delay_Reason,Suspension_Delay_Reason,Infotainment_Delay_Reason,Order_Urgency,Holiday_Proximity,Inventory_Buffer_Used,Weather_Condition_On_Delivery,Strike_Notice,Production_Shift,Valid_Delay,Total_Parts_Delayed,Route_Type,Distance_KM,Traffic_Level,Supplier_Performance_Score,Contract_Penalty_Per_Day,Engine_Supplier_Group,Transmission_Supplier_Group,Brake_System_Supplier_Group,Suspension_Supplier_Group,Infotainment_Supplier_Group,Engine_Reliability_Score,Transmission_Reliability_Score,Brake_System_Reliability_Score,Suspension_Reliability_Score,Infotainment_Reliability_Score,Traffic_Severity_Index
CAR_942,2023-01-31,2023-01-24,East,0.76,Road,1,2023-01-30,North,0.79,Road,0,2023-01-31,South,0.94,Sea,1,2023-02-05,East,0.97,Sea,1,2023-01-29,North,0.87,Road,0,1,5,2500.0,0,0,0,1,0,1,,,,Customs,,Medium,0,0,Storm,0,Morning,True,1,Rural,227.21418344892396,Low,0.12,250,East_Road,North_Road,South_Sea,East_Sea,North_Road,0.3026315789473684,0.3291139240506329,0.2826086956521739,0.2391304347826087,0.3103448275862069,1.0
CAR_546,2023-01-31,2023-01-22,North,0.75,Sea,1,2023-01-24,East,0.98,Air,1,2023-01-26,East,0.99,Sea,1,2023-02-02,North,0.93,Air,0,2023-01-31,West,0.71,Sea,0,0,0,0.0,0,0,0,1,0,0,,,,Transport Breakdown,,Medium,0,0,Clear,0,Morning,False,1,Urban,29.0840355917404,Low,0.98,250,North_Sea,East_Air,East_Sea,North_Air,West_Sea,0.2894736842105263,0.32857142857142857,0.23076923076923078,0.3116883116883117,0.4,1.0
CAR_465,2023-01-31,2023-01-29,West,0.74,Air,0,2023-01-28,East,0.95,Air,1,2023-01-27,East,0.85,Air,0,2023-01-28,West,0.9,Road,1,2023-01-25,East,0.97,Air,0,0,0,0.0,0,0,0,0,0,0,,,,,,High,1,0,Clear,0,Morning,False,0,Mixed,99.0549742344858,Low,0.75,100,West_Air,East_Air,East_Air,West_Road,East_Air,0.34615384615384615,0.32857142857142857,0.3835616438356164,0.3563218390804598,0.2988505747126437,1.0
CAR_807,2023-01-31,2023-02-05,East,0.85,Road,0,2023-02-03,East,0.92,Road,1,2023-01-30,North,0.76,Sea,1,2023-01-26,West,0.77,Air,1,2023-01-31,North,0.7,Road,1,1,3,,1,1,0,0,0,1,Customs,Supplier Issue,,,,High,0,0,Clear,0,Morning,True,2,Mixed,94.31671662161304,High,0.67,100,East_Road,East_Road,North_Sea,West_Air,North_Road,0.3026315789473684,0.27906976744186046,0.27380952380952384,0.3218390804597701,0.3103448275862069,1.5
CAR_286,2023-01-31,2023-01-28,South,0.79,Air,0,2023-01-31,South,0.79,,0,2023-01-24,North,0.8,Air,1,2023-01-28,South,0.81,Road,0,2023-01-23,West,0.76,Sea,1,0,0,0.0,0,0,0,0,0,0,,,,,,Low,0,0,Clear,0,Evening,False,0,Urban,28.01352198203291,Low,0.98,750,South_Air,,North_Air,South_Road,West_Sea,0.2702702702702703,,0.2602739726027397,0.22448979591836735,0.4,1.0
CAR_660,2023-01-31,2023-01-24,South,0.78,Sea,0,2023-01-31,East,0.98,Air,0,2023-02-02,North,0.91,Road,1,2023-02-02,South,0.9,Air,1,2023-02-01,North,0.79,Road,1,1,2,1000.0,0,0,1,1,1,1,,,Weather,Strike,Strike,Medium,0,0,Snow,0,Evening,True,3,Rural,436.10739797191707,Low,0.79,750,South_Sea,East_Air,North_Road,South_Air,North_Road,0.31645569620253167,0.32857142857142857,0.32894736842105265,0.2891566265060241,0.3103448275862069,1.0
CAR_75,2023-01-31,2023-01-31,North,0.87,Air,0,2023-01-31,West,0.73,Road,0,2023-01-27,West,0.88,Sea,1,2023-01-24,South,0.84,Sea,1,2023-02-04,East,0.9,Sea,1,1,4,2000.0,0,0,0,0,1,1,,,,,Supplier Issue,Medium,1,0,Clear,0,Night,True,1,Mixed,191.70980334371157,Moderate,0.4,750,North_Air,West_Road,West_Sea,South_Sea,East_Sea,0.38571428571428573,0.21428571428571427,0.35,0.21839080459770116,0.18947368421052632,1.2
CAR_507,2023-01-31,2023-01-29,East,0.89,Sea,1,2023-02-06,East,0.78,Air,0,2023-01-20,West,0.87,Road,1,2023-01-30,East,0.93,Air,0,2023-02-06,East,0.91,Air,0,0,0,0.0,0,1,0,0,1,0,,Holiday,,,Transport Breakdown,High,0,0,Snow,0,Evening,False,2,Mixed,147.12120712319046,Low,0.51,100,East_Sea,East_Air,West_Road,East_Air,East_Air,0.24358974358974358,0.32857142857142857,0.2717391304347826,0.25287356321839083,0.2988505747126437,1.0
CAR_803,2023-01-31,2023-01-31,South,0.87,Air,1,2023-02-01,East,0.77,Road,0,2023-01-27,West,0.85,Road,1,2023-02-02,South,0.88,Air,1,2023-02-07,West,0.86,Road,1,1,7,3500.0,0,1,0,1,1,1,,Holiday,,Customs,Transport Breakdown,Medium,0,1,Storm,0,Morning,False,3,Rural,242.7662499137514,Moderate,0.0,750,South_Air,East_Road,West_Road,South_Air,West_Road,0.2702702702702703,0.27906976744186046,0.2717391304347826,0.2891566265060241,0.35555555555555557,1.2
CAR_189,2023-01-31,2023-01-25,North,0.96,,1,2023-01-29,North,0.77,Air,1,2023-01-25,North,0.9,Air,1,2023-01-28,South,0.8,Sea,1,2023-02-05,South,0.72,Air,1,1,5,2500.0,0,0,0,0,1,1,,,,,Transport Breakdown,Medium,0,0,Storm,0,Night,True,1,Rural,412.3781411100237,Low,0.23,100,,North_Air,North_Air,South_Sea,South_Air,,0.2638888888888889,0.2602739726027397,0.21839080459770116,0.3375,1.0
